key,chars,files,level,words
(root),59985740,27903,0,9424222
int,6236000,2375,1,1009157
int/UK,1108995,499,2,181887
int/UK/Anglia_Mea,1108995,499,3,181887
int/Italia,37735,12,2,5996
int/Italia/Gazeta_Romaneasca,37735,12,3,5996
int/Germania,2017380,500,2,327753
int/Germania/Germania_Mea,2017380,500,3,327753
int/Spania,1365768,723,2,221529
int/Spania/Ziarul_ZigZag,1365768,723,3,221529
int/Canada_EN,1706122,641,2,271992
int/Canada_EN/Ziarul_ZigZag,1706122,641,3,271992
raioane,11203545,6111,1,1745593
raioane/RepMoldova,11203545,6111,2,1745593
raioane/RepMoldova/Causeni,507705,321,3,78104
raioane/RepMoldova/Causeni/StudioL,507705,321,4,78104
raioane/RepMoldova/Ungheni,2890925,1023,3,440345
raioane/RepMoldova/Ungheni/Unghiul,1910325,608,4,289716
raioane/RepMoldova/Ungheni/Expresul_Ungheni,980600,415,4,150629
raioane/RepMoldova/Sangerei,1562467,775,3,244275
raioane/RepMoldova/Sangerei/Ecoul_Nostru,1562467,775,4,244275
raioane/RepMoldova/Calarasi,1268811,511,3,201628
raioane/RepMoldova/Calarasi/Expresul_Calarasi,1268811,511,4,201628
raioane/RepMoldova/Balti,114070,948,3,17940
raioane/RepMoldova/Balti/ESP,114070,948,4,17940
raioane/RepMoldova/Ialoveni,876780,504,3,136370
raioane/RepMoldova/Ialoveni/Ialoveni_Online,876780,504,4,136370
raioane/RepMoldova/Orhei,812667,512,3,126594
raioane/RepMoldova/Orhei/Radio_Orhei,812667,512,4,126594
raioane/RepMoldova/Cahul,591866,504,3,90059
raioane/RepMoldova/Cahul/ZiuaDeAzi,591866,504,4,90059
raioane/RepMoldova/Criuleni,1681482,509,3,267562
raioane/RepMoldova/Criuleni/Est-Curier,1681482,509,4,267562
raioane/RepMoldova/Soroca,896772,504,3,142716
raioane/RepMoldova/Soroca/Observatorul,896772,504,4,142716
int_istoric,5372907,3139,1,823023
int_istoric/Ucraina,3617588,2005,2,552187
int_istoric/Ucraina/BucPress,3617588,2005,3,552187
int_istoric/Serbia,1755319,1134,2,270836
int_istoric/Serbia/Libertatea,1755319,1134,3,270836
judete,37173288,16278,1,5846449
judete/Bucovina,1146615,428,2,183887
judete/Bucovina/Suceava,1146615,428,3,183887
judete/Bucovina/Suceava/informatiata.ro,552751,228,4,91260
judete/Bucovina/Suceava/crainou.ro,593864,200,4,92627
judete/Crisana,1147004,381,2,182860
judete/Crisana/Bihor,931089,272,3,149649
judete/Crisana/Bihor/crisana.ro,113779,40,4,17100
judete/Crisana/Bihor/zidezi.ro,315400,111,4,50783
judete/Crisana/Bihor/ebihoreanul.ro,501910,121,4,81766
judete/Crisana/Arad,215915,109,3,33211
judete/Crisana/Arad/aradon.ro,215915,109,4,33211
judete/Dobrogea,1929712,927,2,295608
judete/Dobrogea/Constanta,1737268,812,3,265595
judete/Dobrogea/Constanta/dezvaluiri.ro,1264367,606,4,191991
judete/Dobrogea/Constanta/atacdeconstanta.com,472901,206,4,73604
judete/Dobrogea/Tulcea,192444,115,3,30013
