folder_path,level,files,total_content_chars,total_content_words
(root),0,35015,65978573,10371808
int,1,3378,6249469,1011484
int_istoric,1,4144,9085042,1408871
judete,1,21183,39436683,6205147
raioane,1,6310,11207379,1746306
int/Canada_EN,2,642,1706122,271992
int/Canada_Quebec,2,1000,13469,2327
int/Germania,2,500,2017380,327753
int/Italia,2,12,37735,5996
int/Spania,2,724,1365768,221529
int/UK,2,500,1108995,181887
int_istoric/Serbia,2,1134,1755319,270836
int_istoric/Ucraina,2,3010,7329723,1138035
judete/Ardeal_cleaned,2,2041,4541344,722082
judete/Banat_cleaned,2,1239,2499665,402852
judete/Bucovina_cleaned,2,428,1146615,183887
judete/Crisana_cleaned,2,586,1182526,188924
judete/Dobrogea_cleaned,2,1354,1985694,305271
judete/Maramures_cleaned,2,942,820393,133017
judete/Moldova_cleaned,2,7364,13765636,2161165
judete/Muntenia_cleaned,2,2745,5311194,831475
judete/Oltenia_cleaned,2,4484,8183616,1276474
raioane/Balti,2,948,114070,17940
raioane/Cahul,2,504,591866,90059
raioane/Calarasi,2,511,1268811,201628
raioane/Causeni,2,321,507705,78104
raioane/Comrat,2,179,102,15
raioane/Criuleni,2,509,1681482,267562
raioane/Hincesti,2,20,3732,698
raioane/Ialoveni,2,504,876780,136370
raioane/Orhei,2,512,812667,126594
raioane/Sangerei,2,775,1562467,244275
raioane/Soroca,2,504,896772,142716
raioane/Ungheni,2,1023,2890925,440345
int/Canada_EN/Ziarul,3,642,1706122,271992
int/Canada_Quebec/PaginiRomanesti,3,1000,13469,2327
int/Germania/Germania,3,500,2017380,327753
int/Italia/Gazeta,3,12,37735,5996
int/Spania/Ziarul,3,724,1365768,221529
int/UK/Anglia,3,500,1108995,181887
int_istoric/Serbia/Libertatea,3,1134,1755319,270836
int_istoric/Ucraina/BucPress,3,2005,3617588,552187
int_istoric/Ucraina/Zorile,3,1005,3712135,585848
judete/Ardeal_cleaned/Alba,3,134,316735,50973
judete/Ardeal_cleaned/Bistrita,3,53,140670,22584
judete/Ardeal_cleaned/Brasov,3,86,155319,24343
judete/Ardeal_cleaned/Cluj,3,423,868006,135064
judete/Ardeal_cleaned/Covasna,3,617,691646,111393
judete/Ardeal_cleaned/Harghita,3,202,580101,89859
judete/Ardeal_cleaned/Hunedoara,3,526,1788867,287866
judete/Banat_cleaned/Caras-Severin,3,841,1669000,266914
judete/Banat_cleaned/Timis,3,398,830665,135938
judete/Bucovina_cleaned/Suceava,3,428,1146615,183887
judete/Crisana_cleaned/Arad,3,314,251437,39275
judete/Crisana_cleaned/Bihor,3,272,931089,149649
judete/Dobrogea_cleaned/Constanta,3,817,1737268,265595
judete/Dobrogea_cleaned/Tulcea,3,537,248426,39676
judete/Maramures_cleaned/Maramures,3,436,701034,114042
judete/Maramures_cleaned/Satu Mare,3,506,119359,18975
judete/Moldova_cleaned/Bacau,3,1208,2800628,435533
judete/Moldova_cleaned/Botosani,3,1208,2246594,362643
judete/Moldova_cleaned/Galati,3,1114,2027217,313697
judete/Moldova_cleaned/Iasi,3,682,1205315,195023
judete/Moldova_cleaned/Neamt,3,902,2719508,429623
judete/Moldova_cleaned/Vaslui,3,1242,2749616,421454
judete/Moldova_cleaned/Vrancea,3,1008,16758,3192
judete/Muntenia_cleaned/Arges,3,234,463619,73050
judete/Muntenia_cleaned/Braila,3,186,149849,24920
judete/Muntenia_cleaned/Buzau,3,262,605999,97110
judete/Muntenia_cleaned/Calarasi,3,125,186311,29885
judete/Muntenia_cleaned/Dambovita,3,242,471652,74825
judete/Muntenia_cleaned/Giurgiu,3,155,185702,28842
judete/Muntenia_cleaned/Ialomita,3,124,458807,72366
judete/Muntenia_cleaned/Prahova,3,217,604102,96242
judete/Muntenia_cleaned/Teleorman,3,1200,2185153,334235
judete/Oltenia_cleaned/Dolj,3,656,952494,148776
judete/Oltenia_cleaned/Gorj,3,1100,1719460,273243
judete/Oltenia_cleaned/Mehedinti,3,518,1207653,185167
judete/Oltenia_cleaned/Olt,3,1238,2482974,386732
judete/Oltenia_cleaned/Valcea,3,972,1821035,282556
raioane/Balti/ESP,3,948,114070,17940
raioane/Cahul/ZiuaDeAzi,3,504,591866,90059
raioane/Calarasi/Expresul,3,511,1268811,201628
raioane/Causeni/StudioL,3,321,507705,78104
raioane/Comrat/Noi,3,179,102,15
raioane/Criuleni/Est-Curier,3,509,1681482,267562
raioane/Hincesti/HN24,3,20,3732,698
raioane/Ialoveni/Ialoveni,3,504,876780,136370
raioane/Orhei/Radio,3,512,812667,126594
raioane/Sangerei/Ecoul,3,775,1562467,244275
raioane/Soroca/Observatorul,3,504,896772,142716
raioane/Ungheni/Expresul,3,415,980600,150629
raioane/Ungheni/Unghiul,3,608,1910325,289716
judete/Ardeal_cleaned/Alba/abnews,4,59,122319,19103
judete/Ardeal_cleaned/Alba/alba24,4,42,119793,19123
judete/Ardeal_cleaned/Alba/albaiulianul,4,10,847,112
judete/Ardeal_cleaned/Alba/blajinfo,4,23,73776,12635
judete/Ardeal_cleaned/Bistrita/bistriteanul,4,14,23039,3712
judete/Ardeal_cleaned/Bistrita/gazetadebistrita,4,35,111784,17917
judete/Ardeal_cleaned/Bistrita/observatorbn,4,4,5847,955
judete/Ardeal_cleaned/Brasov/brasovultau,4,31,49657,7692
judete/Ardeal_cleaned/Brasov/bunaziuabrasov,4,19,49134,7893
judete/Ardeal_cleaned/Brasov/bunaziuafagaras,4,36,56528,8758
